,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2135975,2015,5,16,6,WN,1213,N391SW,STL,BWI,950,1014.0,24.0,8.0,1022.0,125.0,108.0,97.0,738,1259.0,3.0,1255,1302.0,7.0,0,0,,,,,,
3448805,2015,8,3,1,DL,1990,N970AT,SAV,ATL,1135,1130.0,-5.0,16.0,1146.0,68.0,68.0,40.0,214,1226.0,12.0,1243,1238.0,-5.0,0,0,,,,,,
2811856,2015,6,26,5,UA,1918,N35407,IAH,SMF,945,950.0,5.0,17.0,1007.0,242.0,231.0,207.0,1609,1134.0,7.0,1147,1141.0,-6.0,0,0,,,,,,
4188462,2015,9,18,5,UA,1710,N36469,EWR,FLL,1056,1052.0,-4.0,11.0,1103.0,186.0,171.0,156.0,1065,1339.0,4.0,1402,1343.0,-19.0,0,0,,,,,,
4724928,2015,10,22,4,WN,2112,N639SW,13487,15016,1140,1134.0,-6.0,13.0,1147.0,85.0,80.0,64.0,448,1251.0,3.0,1305,1254.0,-11.0,0,0,,,,,,
2770532,2015,6,23,2,AA,2366,N3JDAA,DFW,RSW,2015,2049.0,34.0,10.0,2059.0,164.0,145.0,130.0,1017,9.0,5.0,2359,14.0,15.0,0,0,,0.0,0.0,6.0,9.0,0.0
603641,2015,2,9,1,AA,2498,N3DMAA,DFW,CLT,2005,2004.0,-1.0,16.0,2020.0,134.0,135.0,111.0,936,2311.0,8.0,2319,2319.0,0.0,0,0,,,,,,
5188819,2015,11,20,5,DL,1635,N3731T,DTW,SAN,1954,1957.0,3.0,17.0,2014.0,303.0,305.0,284.0,1956,2158.0,4.0,2157,2202.0,5.0,0,0,,,,,,
4532533,2015,10,10,6,HA,1,N381HA,12892,12173,840,837.0,-3.0,11.0,848.0,360.0,337.0,315.0,2556,1103.0,11.0,1140,1114.0,-26.0,0,0,,,,,,
1238544,2015,3,21,6,US,839,N152UW,PHL,MCO,2040,2040.0,0.0,15.0,2055.0,157.0,130.0,112.0,861,2247.0,3.0,2317,2250.0,-27.0,0,0,,,,,,
2783076,2015,6,24,3,UA,466,N837UA,IAH,AUS,1535,1534.0,-1.0,16.0,1550.0,61.0,53.0,30.0,140,1620.0,7.0,1636,1627.0,-9.0,0,0,,,,,,
3789046,2015,8,23,7,OO,4750,N427SW,ATL,FWA,1944,1952.0,8.0,15.0,2007.0,103.0,91.0,71.0,508,2118.0,5.0,2127,2123.0,-4.0,0,0,,,,,,
4675283,2015,10,19,1,EV,4166,N34110,11996,11618,1105,1102.0,-3.0,8.0,1110.0,115.0,116.0,101.0,594,1251.0,7.0,1300,1258.0,-2.0,0,0,,,,,,
371079,2015,1,25,7,OO,6201,N797SK,FSD,DEN,1307,1308.0,1.0,11.0,1319.0,101.0,80.0,63.0,483,1322.0,6.0,1348,1328.0,-20.0,0,0,,,,,,
4652930,2015,10,17,6,AA,1328,N3GWAA,13303,11618,2100,2105.0,5.0,14.0,2119.0,177.0,170.0,145.0,1085,2344.0,11.0,2357,2355.0,-2.0,0,0,,,,,,
4095073,2015,9,12,6,OO,4696,N426SW,SLC,BZN,1111,1107.0,-4.0,16.0,1123.0,83.0,85.0,62.0,347,1225.0,7.0,1234,1232.0,-2.0,0,0,,,,,,
3337999,2015,7,27,1,DL,1607,N309DE,ATL,CHS,1910,1915.0,5.0,42.0,1957.0,75.0,87.0,42.0,259,2039.0,3.0,2025,2042.0,17.0,0,0,,17.0,0.0,0.0,0.0,0.0
4425784,2015,10,3,6,WN,2047,N225WN,11042,13232,1315,1311.0,-4.0,10.0,1321.0,75.0,65.0,50.0,307,1311.0,5.0,1330,1316.0,-14.0,0,0,,,,,,
1922183,2015,5,3,7,US,1817,N191UW,SFO,CLT,900,857.0,-3.0,23.0,920.0,299.0,306.0,269.0,2296,1649.0,14.0,1659,1703.0,4.0,0,0,,,,,,
2284400,2015,5,25,1,OO,2768,N944SW,YUM,PHX,1757,1746.0,-11.0,25.0,1811.0,70.0,72.0,34.0,160,1845.0,13.0,1907,1858.0,-9.0,0,0,,,,,,
3302458,2015,7,25,6,AA,297,N5DHAA,LAX,HNL,1650,1645.0,-5.0,17.0,1702.0,364.0,347.0,324.0,2556,1926.0,6.0,1954,1932.0,-22.0,0,0,,,,,,
672271,2015,2,14,6,WN,3728,N398SW,STL,LAS,955,951.0,-4.0,28.0,1019.0,220.0,230.0,197.0,1371,1136.0,5.0,1135,1141.0,6.0,0,0,,,,,,
568937,2015,2,7,6,DL,1363,N940DL,ATL,TUL,1340,1335.0,-5.0,11.0,1346.0,133.0,111.0,97.0,674,1423.0,3.0,1453,1426.0,-27.0,0,0,,,,,,
5249228,2015,11,24,2,AA,1898,N972UY,CLT,JFK,2214,2245.0,31.0,10.0,2255.0,105.0,95.0,78.0,541,13.0,7.0,2359,20.0,21.0,0,0,,0.0,0.0,21.0,0.0,0.0
4842328,2015,10,29,4,AA,2043,N754UW,13931,11057,1950,1948.0,-2.0,30.0,2018.0,84.0,99.0,61.0,290,2119.0,8.0,2114,2127.0,13.0,0,0,,,,,,
5304094,2015,11,28,6,UA,670,N37253,ORD,BOS,2110,2111.0,1.0,26.0,2137.0,140.0,130.0,99.0,867,16.0,5.0,30,21.0,-9.0,0,0,,,,,,
3205867,2015,7,20,1,WN,1765,N628SW,MSY,TPA,605,600.0,-5.0,8.0,608.0,90.0,88.0,76.0,488,824.0,4.0,835,828.0,-7.0,0,0,,,,,,
3199782,2015,7,19,7,WN,667,N372SW,PVD,BWI,1700,1706.0,6.0,9.0,1715.0,80.0,73.0,61.0,327,1816.0,3.0,1820,1819.0,-1.0,0,0,,,,,,
618251,2015,2,10,2,UA,1718,N24212,EWR,MIA,1914,2054.0,100.0,17.0,2111.0,191.0,156.0,133.0,1085,2324.0,6.0,2225,2330.0,65.0,0,0,,0.0,0.0,49.0,16.0,0.0
1295219,2015,3,25,3,NK,319,N621NK,MSP,RSW,1120,1127.0,7.0,13.0,1140.0,202.0,206.0,173.0,1416,1533.0,20.0,1542,1553.0,11.0,0,0,,,,,,
4085365,2015,9,11,5,EV,4729,N13995,BTV,ORD,1641,1635.0,-6.0,9.0,1644.0,150.0,142.0,118.0,763,1742.0,15.0,1811,1757.0,-14.0,0,0,,,,,,
5136380,2015,11,17,2,WN,50,N685SW,HRL,HOU,1650,1744.0,54.0,12.0,1756.0,65.0,60.0,45.0,277,1841.0,3.0,1755,1844.0,49.0,0,0,,0.0,0.0,7.0,42.0,0.0
5490296,2015,12,10,4,OO,4747,N632SK,SEA,SMF,1653,1643.0,-10.0,12.0,1655.0,114.0,97.0,81.0,605,1816.0,4.0,1847,1820.0,-27.0,0,0,,,,,,
1995846,2015,5,7,4,DL,2040,N624AG,SFO,JFK,1600,1614.0,14.0,13.0,1627.0,341.0,356.0,332.0,2586,59.0,11.0,41,110.0,29.0,0,0,,15.0,0.0,14.0,0.0,0.0
18330,2015,1,2,5,DL,1316,N617DL,ATL,DEN,935,933.0,-2.0,9.0,942.0,212.0,194.0,178.0,1199,1040.0,7.0,1107,1047.0,-20.0,0,0,,,,,,
3615064,2015,8,13,4,DL,1918,N666DN,SNA,ATL,810,806.0,-4.0,10.0,816.0,265.0,252.0,233.0,1919,1509.0,9.0,1535,1518.0,-17.0,0,0,,,,,,
3842289,2015,8,27,4,EV,4236,N34110,TUL,IAH,630,628.0,-2.0,16.0,644.0,99.0,90.0,67.0,429,751.0,7.0,809,758.0,-11.0,0,0,,,,,,
5709440,2015,12,24,4,WN,4109,N784SW,MCI,LAS,1625,1658.0,33.0,9.0,1707.0,190.0,201.0,185.0,1139,1812.0,7.0,1735,1819.0,44.0,0,0,,11.0,0.0,33.0,0.0,0.0
4844423,2015,10,30,5,WN,1564,N556WN,14635,10397,550,551.0,1.0,23.0,614.0,105.0,114.0,85.0,515,739.0,6.0,735,745.0,10.0,0,0,,,,,,
14729,2015,1,2,5,UA,1029,N11206,IAH,EWR,607,606.0,-1.0,16.0,622.0,200.0,184.0,160.0,1400,1002.0,8.0,1027,1010.0,-17.0,0,0,,,,,,
2077660,2015,5,12,2,UA,277,N838UA,PHL,SFO,1808,1918.0,70.0,15.0,1933.0,390.0,366.0,346.0,2521,2219.0,5.0,2138,2224.0,46.0,0,0,,0.0,0.0,9.0,37.0,0.0
5334202,2015,11,30,1,NK,683,N503NK,DTW,RSW,1617,1622.0,5.0,10.0,1632.0,163.0,160.0,147.0,1084,1859.0,3.0,1900,1902.0,2.0,0,0,,,,,,
282477,2015,1,19,1,EV,4113,N14902,IND,EWR,1414,1400.0,-14.0,16.0,1416.0,120.0,117.0,92.0,645,1548.0,9.0,1614,1557.0,-17.0,0,0,,,,,,
3595083,2015,8,12,3,OO,5324,N956SW,SBA,LAX,530,520.0,-10.0,14.0,534.0,54.0,56.0,25.0,89,559.0,17.0,624,616.0,-8.0,0,0,,,,,,
4537579,2015,10,10,6,DL,881,N329NB,10423,10397,1421,1415.0,-6.0,12.0,1427.0,128.0,128.0,105.0,813,1712.0,11.0,1729,1723.0,-6.0,0,0,,,,,,
3907852,2015,8,31,1,UA,1126,N28912,IAH,DEN,900,854.0,-6.0,16.0,910.0,151.0,140.0,109.0,862,959.0,15.0,1031,1014.0,-17.0,0,0,,,,,,
2648908,2015,6,16,2,B6,2302,N504JB,JFK,BUF,1700,1751.0,51.0,63.0,1854.0,111.0,123.0,55.0,301,1949.0,5.0,1851,1954.0,63.0,0,0,,12.0,0.0,51.0,0.0,0.0
4768148,2015,10,25,7,DL,803,N970DL,11193,13204,945,941.0,-4.0,10.0,951.0,126.0,119.0,103.0,757,1134.0,6.0,1151,1140.0,-11.0,0,0,,,,,,
4494130,2015,10,7,3,WN,1277,N717SA,11292,10693,1915,1922.0,7.0,11.0,1933.0,150.0,138.0,121.0,1014,2234.0,6.0,2245,2240.0,-5.0,0,0,,,,,,
4451514,2015,10,5,1,OO,5429,N961SW,13930,13344,912,911.0,-1.0,28.0,939.0,55.0,65.0,30.0,118,1109.0,7.0,1107,1116.0,9.0,0,0,,,,,,
2724508,2015,6,21,7,VX,902,N623VA,SFO,LAS,900,856.0,-4.0,9.0,905.0,90.0,81.0,63.0,414,1008.0,9.0,1030,1017.0,-13.0,0,0,,,,,,
4915162,2015,11,3,2,WN,1110,N560WN,BWI,RSW,1635,1656.0,21.0,64.0,1800.0,160.0,194.0,127.0,919,2007.0,3.0,1915,2010.0,55.0,0,0,,34.0,0.0,21.0,0.0,0.0
4700227,2015,10,20,2,WN,111,N7820J,12889,15016,1950,1943.0,-7.0,8.0,1951.0,185.0,171.0,160.0,1371,31.0,3.0,55,34.0,-21.0,0,0,,,,,,
2741141,2015,6,22,1,WN,461,N918WN,SAT,DAL,825,855.0,30.0,11.0,906.0,65.0,62.0,48.0,248,954.0,3.0,930,957.0,27.0,0,0,,0.0,0.0,25.0,2.0,0.0
1943975,2015,5,4,1,UA,616,N445UA,ORD,DCA,1400,1356.0,-4.0,20.0,1416.0,116.0,106.0,84.0,612,1640.0,2.0,1656,1642.0,-14.0,0,0,,,,,,
3554213,2015,8,9,7,EV,4865,N11187,IAH,BTR,1540,1534.0,-6.0,14.0,1548.0,67.0,62.0,42.0,253,1630.0,6.0,1647,1636.0,-11.0,0,0,,,,,,
4524256,2015,10,9,5,OO,6359,N121SY,14771,13487,1611,1630.0,19.0,18.0,1648.0,233.0,223.0,200.0,1589,2208.0,5.0,2204,2213.0,9.0,0,0,,,,,,
1714829,2015,4,20,1,DL,975,N311US,PDX,SLC,1035,1029.0,-6.0,10.0,1039.0,100.0,101.0,87.0,630,1306.0,4.0,1315,1310.0,-5.0,0,0,,,,,,
994485,2015,3,6,5,AA,2276,N559AA,DFW,IND,1955,2022.0,27.0,30.0,2052.0,119.0,136.0,101.0,761,2333.0,5.0,2254,2338.0,44.0,0,0,,17.0,0.0,16.0,11.0,0.0
1442315,2015,4,3,5,EV,5386,N528CA,DSM,DTW,1007,1012.0,5.0,12.0,1024.0,109.0,93.0,76.0,534,1240.0,5.0,1256,1245.0,-11.0,0,0,,,,,,
1002024,2015,3,7,6,EV,4503,N26545,IAH,HRL,1133,1127.0,-6.0,8.0,1135.0,72.0,62.0,51.0,295,1226.0,3.0,1245,1229.0,-16.0,0,0,,,,,,
2597452,2015,6,13,6,AA,2389,N3GYAA,DFW,SNA,1530,1526.0,-4.0,13.0,1539.0,191.0,178.0,160.0,1205,1619.0,5.0,1641,1624.0,-17.0,0,0,,,,,,
5710702,2015,12,24,4,DL,2177,N190DN,HNL,MSP,1805,1802.0,-3.0,17.0,1819.0,473.0,456.0,435.0,3972,534.0,4.0,558,538.0,-20.0,0,0,,,,,,
5562066,2015,12,15,2,EV,5177,N146PQ,MDW,MSP,1250,1247.0,-3.0,15.0,1302.0,90.0,84.0,67.0,349,1409.0,2.0,1420,1411.0,-9.0,0,0,,,,,,
4657788,2015,10,18,7,NK,657,N524NK,13495,12266,1012,1002.0,-10.0,10.0,1012.0,77.0,71.0,54.0,305,1106.0,7.0,1129,1113.0,-16.0,0,0,,,,,,
4967209,2015,11,6,5,DL,2402,N947AT,ATL,CHO,1920,1920.0,0.0,9.0,1929.0,91.0,78.0,66.0,457,2035.0,3.0,2051,2038.0,-13.0,0,0,,,,,,
4110367,2015,9,13,7,F9,1442,N205FR,IND,ATL,1355,1355.0,0.0,16.0,1411.0,97.0,86.0,62.0,432,1513.0,8.0,1532,1521.0,-11.0,0,0,,,,,,
2001279,2015,5,7,4,MQ,3233,N513MQ,ORD,COU,2200,2201.0,1.0,17.0,2218.0,84.0,71.0,50.0,315,2308.0,4.0,2324,2312.0,-12.0,0,0,,,,,,
1774988,2015,4,23,4,UA,1535,N69829,LAX,EWR,2123,2126.0,3.0,16.0,2142.0,323.0,290.0,266.0,2454,508.0,8.0,546,516.0,-30.0,0,0,,,,,,
1360026,2015,3,29,7,WN,1250,N7738A,OAK,LAX,1150,1209.0,19.0,10.0,1219.0,75.0,77.0,56.0,337,1315.0,11.0,1305,1326.0,21.0,0,0,,2.0,0.0,19.0,0.0,0.0
5621105,2015,12,19,6,WN,767,N441WN,LGA,ATL,640,640.0,0.0,10.0,650.0,165.0,154.0,117.0,762,847.0,27.0,925,914.0,-11.0,0,0,,,,,,
3166418,2015,7,17,5,MQ,3377,N674MQ,BUF,ORD,1519,1509.0,-10.0,18.0,1527.0,111.0,102.0,77.0,473,1544.0,7.0,1610,1551.0,-19.0,0,0,,,,,,
4648198,2015,10,17,6,AA,1430,N5ENAA,11298,10721,1400,1357.0,-3.0,16.0,1413.0,223.0,201.0,179.0,1562,1812.0,6.0,1843,1818.0,-25.0,0,0,,,,,,
4232070,2015,9,21,1,WN,1131,N482WN,LIT,PHX,950,948.0,-2.0,9.0,957.0,185.0,169.0,155.0,1136,1032.0,5.0,1055,1037.0,-18.0,0,0,,,,,,
2148931,2015,5,17,7,WN,443,N8306H,BWI,LAX,920,922.0,2.0,18.0,940.0,345.0,342.0,309.0,2329,1149.0,15.0,1205,1204.0,-1.0,0,0,,,,,,
1948885,2015,5,4,1,DL,2461,N950DL,ATL,MEM,1855,1852.0,-3.0,9.0,1901.0,87.0,67.0,54.0,332,1855.0,4.0,1922,1859.0,-23.0,0,0,,,,,,
1354631,2015,3,29,7,AA,1649,N640AA,BOS,DFW,615,610.0,-5.0,20.0,630.0,259.0,235.0,197.0,1562,847.0,18.0,934,905.0,-29.0,0,0,,,,,,
3367399,2015,7,29,3,DL,2206,N314NB,ATL,ORF,1405,1355.0,-10.0,28.0,1423.0,107.0,107.0,76.0,516,1539.0,3.0,1552,1542.0,-10.0,0,0,,,,,,
4762906,2015,10,24,6,B6,801,N653JB,13204,14869,1913,1926.0,13.0,9.0,1935.0,278.0,268.0,256.0,1931,2151.0,3.0,2151,2154.0,3.0,0,0,,,,,,
2496427,2015,6,7,7,OO,7391,N8903A,GCC,SLC,1700,1654.0,-6.0,11.0,1705.0,91.0,75.0,60.0,410,1805.0,4.0,1831,1809.0,-22.0,0,0,,,,,,
1860220,2015,4,29,3,AA,1435,N3HWAA,ORD,BOS,1010,1010.0,0.0,9.0,1019.0,141.0,133.0,116.0,867,1315.0,8.0,1331,1323.0,-8.0,0,0,,,,,,
5269261,2015,11,26,4,EV,3822,N16170,RDU,EWR,815,815.0,0.0,9.0,824.0,98.0,80.0,63.0,416,927.0,8.0,953,935.0,-18.0,0,0,,,,,,
2786474,2015,6,24,3,WN,713,N452WN,LAX,DAL,1855,2012.0,77.0,7.0,2019.0,180.0,167.0,155.0,1246,54.0,5.0,2355,59.0,64.0,0,0,,4.0,0.0,0.0,60.0,0.0
1844867,2015,4,28,2,OO,7377,N675BR,SLC,BTM,1110,1104.0,-6.0,18.0,1122.0,85.0,79.0,57.0,358,1219.0,4.0,1235,1223.0,-12.0,0,0,,,,,,
2122819,2015,5,15,5,UA,690,N407UA,IAH,ORD,1247,1314.0,27.0,38.0,1352.0,158.0,183.0,125.0,925,1557.0,20.0,1525,1617.0,52.0,0,0,,25.0,0.0,27.0,0.0,0.0
1245475,2015,3,22,7,US,611,N945UW,PHL,ATL,1140,1140.0,0.0,28.0,1208.0,141.0,162.0,120.0,666,1408.0,14.0,1401,1422.0,21.0,0,0,,21.0,0.0,0.0,0.0,0.0
4169036,2015,9,17,4,WN,1747,N363SW,TUL,HOU,810,802.0,-8.0,11.0,813.0,95.0,88.0,72.0,453,925.0,5.0,945,930.0,-15.0,0,0,,,,,,
4879090,2015,11,1,7,UA,1950,N26226,SFO,CLE,1319,1313.0,-6.0,19.0,1332.0,283.0,256.0,230.0,2161,2022.0,7.0,2102,2029.0,-33.0,0,0,,,,,,
4572718,2015,10,12,1,AA,2430,N571AA,11066,11298,1920,1913.0,-7.0,10.0,1923.0,168.0,166.0,145.0,926,2048.0,11.0,2108,2059.0,-9.0,0,0,,,,,,
2517659,2015,6,8,1,UA,1137,N37273,LIH,SFO,2057,2210.0,73.0,8.0,2218.0,314.0,306.0,282.0,2447,600.0,16.0,511,616.0,65.0,0,0,,0.0,0.0,49.0,16.0,0.0
4771939,2015,10,25,7,OO,2873,N464SW,15376,12892,1335,1326.0,-9.0,16.0,1342.0,101.0,95.0,71.0,451,1453.0,8.0,1516,1501.0,-15.0,0,0,,,,,,
3639848,2015,8,14,5,WN,3020,N8618N,PHX,MDW,1520,1529.0,9.0,19.0,1548.0,205.0,208.0,184.0,1444,2052.0,5.0,2045,2057.0,12.0,0,0,,,,,,
4317122,2015,9,26,6,UA,1240,N27213,DEN,MCO,1515,1536.0,21.0,14.0,1550.0,215.0,211.0,189.0,1546,2059.0,8.0,2050,2107.0,17.0,0,0,,0.0,0.0,17.0,0.0,0.0
1001186,2015,3,7,6,MQ,2954,N939MQ,DFW,GJT,1040,1100.0,20.0,18.0,1118.0,140.0,136.0,114.0,773,1212.0,4.0,1200,1216.0,16.0,0,0,,0.0,0.0,16.0,0.0,0.0
1447559,2015,4,3,5,NK,356,N533NK,SAN,LAS,1520,1629.0,69.0,11.0,1640.0,70.0,59.0,42.0,258,1722.0,6.0,1630,1728.0,58.0,0,0,,1.0,0.0,15.0,42.0,0.0
5685906,2015,12,23,3,OO,4776,N632SK,SEA,JAC,804,821.0,17.0,24.0,845.0,110.0,,,621,,,1054,,,1,0,,,,,,
3432308,2015,8,2,7,OO,4765,N813SK,OAK,LAX,1229,1226.0,-3.0,10.0,1236.0,86.0,82.0,57.0,337,1333.0,15.0,1355,1348.0,-7.0,0,0,,,,,,
3985711,2015,9,4,5,UA,1571,N12238,IAH,RSW,2025,2035.0,10.0,14.0,2049.0,139.0,127.0,107.0,861,2336.0,6.0,2344,2342.0,-2.0,0,0,,,,,,
3517505,2015,8,7,5,DL,475,N818DA,JFK,SEA,1045,1043.0,-2.0,16.0,1059.0,365.0,360.0,337.0,2422,1336.0,7.0,1350,1343.0,-7.0,0,0,,,,,,
1470124,2015,4,5,7,UA,1443,N16732,IAD,STT,815,813.0,-2.0,26.0,839.0,233.0,258.0,199.0,1606,1158.0,33.0,1208,1231.0,23.0,0,0,,23.0,0.0,0.0,0.0,0.0
2266995,2015,5,24,7,OO,5501,N961SW,PSP,DEN,1500,1448.0,-12.0,11.0,1459.0,130.0,128.0,113.0,776,1752.0,4.0,1810,1756.0,-14.0,0,0,,,,,,
4016831,2015,9,7,1,WN,1633,N658SW,DAL,AUS,1105,1100.0,-5.0,9.0,1109.0,50.0,47.0,32.0,189,1141.0,6.0,1155,1147.0,-8.0,0,0,,,,,,
2374222,2015,5,31,7,B6,1567,N231JB,HPN,PBI,1026,1018.0,-8.0,9.0,1027.0,166.0,148.0,137.0,1056,1244.0,2.0,1312,1246.0,-26.0,0,0,,,,,,
4553615,2015,10,11,7,WN,3182,N8641B,12892,11259,1700,1734.0,34.0,7.0,1741.0,175.0,160.0,149.0,1246,2210.0,4.0,2155,2214.0,19.0,0,0,,0.0,0.0,0.0,19.0,0.0
5608971,2015,12,18,5,AA,2548,N3EFAA,MIA,DEN,1104,1110.0,6.0,28.0,1138.0,269.0,279.0,243.0,1709,1341.0,8.0,1333,1349.0,16.0,0,0,,10.0,0.0,5.0,1.0,0.0
1853207,2015,4,28,2,EV,6165,N11192,ORD,MCI,1944,1937.0,-7.0,10.0,1947.0,96.0,69.0,56.0,403,2043.0,3.0,2120,2046.0,-34.0,0,0,,,,,,
4638313,2015,10,16,5,B6,536,N249JB,11697,15070,1912,2000.0,48.0,11.0,2011.0,181.0,157.0,141.0,1118,2232.0,5.0,2213,2237.0,24.0,0,0,,0.0,0.0,4.0,20.0,0.0
4538239,2015,10,10,6,WN,1888,N627SW,12892,14683,1510,1533.0,23.0,8.0,1541.0,170.0,166.0,155.0,1211,2016.0,3.0,2000,2019.0,19.0,0,0,,0.0,0.0,7.0,12.0,0.0
5630494,2015,12,19,6,AA,2240,N3KYAA,MIA,LGA,1701,1729.0,28.0,16.0,1745.0,176.0,171.0,144.0,1096,2009.0,11.0,1957,2020.0,23.0,0,0,,23.0,0.0,0.0,0.0,0.0
1656891,2015,4,16,4,WN,339,N499WN,BUR,LAS,1550,1553.0,3.0,14.0,1607.0,60.0,61.0,40.0,223,1647.0,7.0,1650,1654.0,4.0,0,0,,,,,,
5789920,2015,12,30,3,MQ,3431,N637MQ,ABI,DFW,530,529.0,-1.0,25.0,554.0,50.0,62.0,29.0,158,623.0,8.0,620,631.0,11.0,0,0,,,,,,
3506399,2015,8,6,4,OO,5391,N472CA,MRY,LAX,1701,1723.0,22.0,16.0,1739.0,81.0,80.0,54.0,266,1833.0,10.0,1822,1843.0,21.0,0,0,,21.0,0.0,0.0,0.0,0.0
2316043,2015,5,27,3,US,1888,N714US,TPA,PHL,1600,1624.0,24.0,18.0,1642.0,150.0,180.0,158.0,920,1920.0,4.0,1830,1924.0,54.0,0,0,,54.0,0.0,0.0,0.0,0.0
905632,2015,3,1,7,WN,2348,N646SW,SAN,SMF,1250,1321.0,31.0,17.0,1338.0,90.0,,,480,1541.0,5.0,1420,1546.0,,1,0,,,,,,
792690,2015,2,22,7,DL,588,N801DZ,SEA,MSP,905,903.0,-2.0,12.0,915.0,189.0,194.0,174.0,1399,1409.0,8.0,1414,1417.0,3.0,0,0,,,,,,
5630007,2015,12,19,6,DL,887,N581NW,ATL,PDX,1630,1644.0,14.0,24.0,1708.0,334.0,309.0,282.0,2172,1850.0,3.0,1904,1853.0,-11.0,0,0,,,,,,
2178780,2015,5,19,2,OO,5482,N753SK,SBA,DEN,545,539.0,-6.0,11.0,550.0,146.0,141.0,122.0,916,852.0,8.0,911,900.0,-11.0,0,0,,,,,,
1240866,2015,3,22,7,WN,1206,N8305E,DCA,DAL,700,659.0,-1.0,25.0,724.0,205.0,217.0,186.0,1184,930.0,6.0,925,936.0,11.0,0,0,,,,,,
805068,2015,2,23,1,US,1909,N948UW,BOS,PHL,530,526.0,-4.0,26.0,552.0,89.0,95.0,63.0,280,655.0,6.0,659,701.0,2.0,0,0,,,,,,
3652618,2015,8,15,6,HA,144,N492HA,LIH,HNL,1148,1143.0,-5.0,5.0,1148.0,33.0,31.0,22.0,102,1210.0,4.0,1221,1214.0,-7.0,0,0,,,,,,
1523677,2015,4,8,3,DL,1507,N804DN,ATL,SLC,1210,1211.0,1.0,20.0,1231.0,250.0,250.0,224.0,1590,1415.0,6.0,1420,1421.0,1.0,0,0,,,,,,
1587150,2015,4,12,7,UA,1292,N68811,DEN,IAH,1234,1234.0,0.0,14.0,1248.0,141.0,146.0,116.0,862,1544.0,16.0,1555,1600.0,5.0,0,0,,,,,,
2820904,2015,6,26,5,MQ,3060,N635MQ,DFW,FAR,1830,2207.0,217.0,17.0,2224.0,168.0,165.0,144.0,968,48.0,4.0,2118,52.0,214.0,0,0,,0.0,0.0,0.0,9.0,205.0
2393728,2015,6,1,1,DL,1826,N909DA,ATL,FLL,1300,1259.0,-1.0,11.0,1310.0,113.0,100.0,85.0,581,1435.0,4.0,1453,1439.0,-14.0,0,0,,,,,,
4911598,2015,11,3,2,DL,1400,N908DA,ATL,BOS,1255,1253.0,-2.0,12.0,1305.0,148.0,138.0,122.0,946,1507.0,4.0,1523,1511.0,-12.0,0,0,,,,,,
1158508,2015,3,17,2,AS,685,N526AS,DEN,SEA,600,554.0,-6.0,28.0,622.0,178.0,174.0,143.0,1024,745.0,3.0,758,748.0,-10.0,0,0,,,,,,
2400429,2015,6,1,1,B6,265,N519JB,SMF,LGB,1940,1951.0,11.0,8.0,1959.0,79.0,67.0,57.0,387,2056.0,2.0,2059,2058.0,-1.0,0,0,,,,,,
2763020,2015,6,23,2,MQ,3650,N656MQ,FSD,ORD,1246,1246.0,0.0,13.0,1259.0,99.0,89.0,61.0,462,1400.0,15.0,1425,1415.0,-10.0,0,0,,,,,,
1175864,2015,3,18,3,B6,215,N334JB,BOS,DFW,640,647.0,7.0,16.0,703.0,264.0,252.0,232.0,1562,955.0,4.0,1004,959.0,-5.0,0,0,,,,,,
53288,2015,1,4,7,WN,34,N900WN,MCO,DAL,1235,1938.0,423.0,6.0,1944.0,170.0,159.0,149.0,973,2113.0,4.0,1425,2117.0,412.0,0,0,,0.0,0.0,405.0,7.0,0.0
35906,2015,1,3,6,DL,2074,N914DL,TPA,ATL,1045,1046.0,1.0,12.0,1058.0,93.0,87.0,64.0,406,1202.0,11.0,1218,1213.0,-5.0,0,0,,,,,,
2436009,2015,6,3,3,UA,1523,N73278,SFO,EWR,2300,2304.0,4.0,23.0,2327.0,330.0,330.0,294.0,2565,721.0,13.0,730,734.0,4.0,0,0,,,,,,
4554781,2015,10,11,7,DL,2483,N910DE,13851,10397,1805,1803.0,-2.0,9.0,1812.0,125.0,132.0,106.0,761,2058.0,17.0,2110,2115.0,5.0,0,0,,,,,,
2148101,2015,5,17,7,US,1839,N808AW,BOS,PHL,830,826.0,-4.0,18.0,844.0,89.0,77.0,55.0,280,939.0,4.0,959,943.0,-16.0,0,0,,,,,,
1142905,2015,3,16,1,DL,2285,N942DL,LGA,MCO,700,659.0,-1.0,21.0,720.0,175.0,144.0,120.0,950,920.0,3.0,955,923.0,-32.0,0,0,,,,,,
